site,parameters,num_parameters
big creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, FSMF, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",53
gage creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",52
garvey creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",52
larches creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, CONDAM, COUT, CRUT, CUUT, DIC, DO, DOC, ECMF, FEUT, FSMF, FWPH, FWTEMP, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, TURB (FNU), UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",58
little ausable,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, FSMF, FWSTRC, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NNTKUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",55
nanticoke creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, FSMF, FWSTRC, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",54
nissouri creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CHLRAC, CHLRAT, CHLRBT, CLIDUR, COND25, CONDAM, COUT, CRUT, CUUT, DIC, DO, DOC, ECMF, FEUT, FSMF, FWPH, FWSTRC, FWTEMP, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NNTKUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",62
north creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, FSMF, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NNTKUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",54
north maitland,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NNTKUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",53
smith creek,"AGUT, ALKT, ALUT, BACBOV, BACGEN, BACHUM, BAUT, BEUT, BIUT, CAUT, CDUT, CLIDUR, COND25, COUT, CRUT, CUUT, DIC, DOC, ECMF, FEUT, FSMF, HARDT, KKUT, LIUT, MGUT, MNUT, MOUT, NAUT, NIUT, NNHTUR, NNO2UR, NNOTUR, NTOT, PBUT, PH, PPO4FR, PPUT, RSP, SIO3UR, SNUT, SRUT, SSO4UR, TIUT, TURB, UUUT, VVUT, ZNUT, ZRUT, TP, TDP, PO4, NO3, NO2",53
